pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2kh2	B	b	29	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	30	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	31	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	32	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	33	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	34	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	35	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	36	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	37	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	38	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	39	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	40	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	41	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	42	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	43	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	44	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	45	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	46	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	47	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	48	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	49	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	50	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	51	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	52	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	53	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	54	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	55	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	56	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	57	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	58	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	59	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
